P,Q,secure
42,100,1
44,52,1
44,54,1
44,56,1
44,58,1
44,60,1
44,62,1
44,64,1
44,66,1
44,68,1
44,70,1
44,72,1
44,74,1
44,76,1
44,78,1
44,80,1
44,82,1
44,84,1
44,86,1
44,88,1
44,90,1
44,92,1
44,94,1
44,96,1
44,98,1
44,100,1
46,52,1
46,54,1
46,56,1
46,58,1
46,60,1
46,62,1
46,64,1
46,66,1
46,68,1
46,70,1
46,72,1
46,74,1
46,76,1
46,78,1
46,80,1
46,82,1
46,84,1
46,86,1
46,88,1
46,90,1
46,92,1
46,94,1
46,96,1
46,98,1
46,100,1
48,52,1
48,54,1
48,56,1
48,58,1
48,60,1
48,62,1
48,64,1
48,66,1
48,68,1
48,70,1
48,72,1
48,74,1
48,76,1
48,78,1
48,80,1
48,82,1
48,84,1
48,86,1
48,88,1
48,90,1
48,92,1
48,94,1
48,96,1
48,98,1
48,100,1
50,56,1
50,58,1
50,14,1
50,28,1
52,2,0
52,4,0
52,6,0
52,8,0
52,10,0
52,12,1
52,14,1
52,16,1
52,18,1
52,20,1
52,22,1
52,24,1
52,26,1
52,28,1
52,30,1
52,32,1
52,34,1
52,36,1
52,38,1
52,40,1
52,42,1
52,44,1
52,46,1
52,48,1
54,2,0
54,4,0
54,6,0
54,8,0
54,10,0
54,12,0
54,14,0
54,16,0
54,18,0
54,20,1
54,22,1
54,24,1
54,26,1
54,28,1
54,30,1
54,32,1
54,34,1
54,36,1
54,38,1
54,40,1
54,42,1
54,44,1
54,46,1
54,48,1
56,2,0
56,4,0
56,6,0
56,8,0
56,10,0
56,12,0
56,14,0
56,16,0
56,18,0
56,20,0
56,22,0
56,24,0
56,26,0
56,28,0
56,30,1
56,32,1
56,34,1
56,36,1
56,38,1
56,40,1
56,42,1
56,44,1
56,46,1
56,48,1
56,50,1
58,2,0
58,4,0
58,6,0
58,8,0
58,10,0
58,12,0
58,14,0
58,16,0
58,18,0
58,20,0
58,22,0
58,24,0
58,26,0
58,28,0
58,30,0
58,32,0
58,34,0
58,36,0
58,38,0
58,40,1
58,42,1
58,44,1
58,46,1
58,48,1
58,50,1
60,2,0
60,4,0
60,6,0
60,8,0
60,12,0
60,14,0
60,16,0
60,18,0
60,22,0
60,24,0
60,26,0
60,28,0
60,32,0
60,34,0
60,36,0
60,38,0
60,42,0
60,44,0
60,46,0
60,48,0
62,2,0
62,4,0
62,6,0
62,8,0
62,10,0
62,12,0
62,14,0
62,16,0
62,18,0
62,20,0
62,22,0
62,24,0
62,26,0
62,28,0
62,30,0
62,32,0
62,34,0
62,36,0
62,38,0
62,40,0
62,42,0
62,44,0
62,46,0
62,48,0
64,2,0
64,4,0
64,6,0
64,8,0
64,10,0
64,12,0
64,14,0
64,16,0
64,18,0
64,20,0
64,22,0
64,24,0
64,26,0
64,28,0
64,30,0
64,32,0
64,34,0
64,36,0
64,38,0
64,40,0
64,42,0
64,44,0
64,46,0
64,48,0
66,2,0
66,4,0
66,6,0
66,8,0
66,10,0
66,12,0
66,14,0
66,16,0
66,18,0
66,20,0
66,22,0
66,24,0
66,26,0
66,28,0
66,30,0
66,32,0
66,34,0
66,36,0
66,38,0
66,40,0
66,42,0
66,44,0
66,46,0
66,48,0
68,2,0
68,4,0
68,6,0
68,8,0
68,10,0
68,12,0
68,14,0
68,16,0
68,18,0
68,20,0
68,22,0
68,24,0
68,26,0
68,28,0
68,30,0
68,32,0
68,34,0
68,36,0
68,38,0
68,40,0
68,42,0
68,44,0
68,46,0
68,48,0
70,2,0
70,4,0
70,6,0
70,8,0
70,12,0
70,14,0
70,16,0
70,18,0
70,22,0
70,24,0
70,26,0
70,28,0
70,32,0
70,34,0
70,36,0
70,38,0
70,42,0
70,44,0
70,46,0
70,48,0
72,2,0
72,4,0
72,6,0
72,8,0
72,10,0
72,12,0
72,14,0
72,16,0
72,18,0
72,20,0
72,22,0
72,24,0
72,26,0
72,28,0
72,30,0
72,32,0
72,34,0
72,36,0
72,38,0
72,40,0
72,42,0
72,44,0
72,46,0
72,48,0
74,2,0
74,4,0
74,6,0
74,8,0
74,10,0
74,12,0
74,14,0
74,16,0
74,18,0
74,20,0
74,22,0
74,24,0
74,26,0
74,28,0
74,30,0
74,32,0
74,34,0
74,36,0
74,38,0
74,40,0
74,42,0
74,44,0
74,46,0
74,48,0
76,2,0
76,4,0
76,6,0
76,8,0
76,10,0
76,12,0
76,14,0
76,16,0
76,18,0
76,20,0
76,22,0
76,24,0
76,26,0
76,28,0
76,30,0
76,32,0
76,34,0
76,36,0
76,38,0
76,40,0
76,42,0
76,44,0
76,46,0
76,48,0
78,2,0
78,4,0
78,6,0
78,8,0
78,10,0
78,12,0
78,14,0
78,16,0
78,18,0
78,20,0
78,22,0
78,24,0
78,26,0
78,28,0
78,30,0
78,32,0
78,34,0
78,36,0
78,38,0
78,40,0
78,42,0
78,44,0
78,46,0
78,48,0
80,2,0
80,4,0
80,6,0
80,8,0
80,12,0
80,14,0
80,16,0
80,18,0
80,22,0
80,24,0
80,26,0
80,28,0
80,32,0
80,34,0
80,36,0
80,38,0
80,42,0
80,44,0
80,46,0
80,48,0
82,2,0
82,4,0
82,6,0
82,8,0
82,10,0
82,12,0
82,14,0
82,16,0
82,18,0
82,20,0
82,22,0
82,24,0
82,26,0
82,28,0
82,30,0
82,32,0
82,34,0
82,36,0
82,38,0
82,40,0
82,42,0
82,44,0
82,46,0
82,48,0
84,2,1
84,4,1
84,6,0
84,8,0
84,10,0
84,12,0
84,14,0
84,16,0
84,18,0
84,20,0
84,22,0
84,24,0
84,26,0
84,28,0
84,30,0
84,32,0
84,34,0
84,36,0
84,38,0
84,40,0
84,42,0
84,44,0
84,46,0
84,48,0
86,2,1
86,4,1
86,6,1
86,8,1
86,10,1
86,12,0
86,14,0
86,16,0
86,18,0
86,20,0
86,22,0
86,24,0
86,26,0
86,28,0
86,30,0
86,32,0
86,34,0
86,36,0
86,38,0
86,40,0
86,42,0
86,44,0
86,46,0
86,48,0
88,2,1
88,4,1
88,6,1
88,8,1
88,10,1
88,12,1
88,14,1
88,16,1
88,18,0
88,20,0
88,22,0
88,24,0
88,26,0
88,28,0
88,30,0
88,32,0
88,34,0
88,36,0
88,38,0
88,40,0
88,42,0
88,44,0
88,46,0
88,48,0
90,2,1
90,4,1
90,6,1
90,8,1
90,12,1
90,14,1
90,16,1
90,18,1
90,22,0
90,24,0
90,26,0
90,28,0
90,32,0
90,34,0
90,36,0
90,38,0
90,42,0
90,44,0
90,46,0
90,48,0
92,2,1
92,4,1
92,6,1
92,8,1
92,10,1
92,12,1
92,14,1
92,16,1
92,18,1
92,20,1
92,22,1
92,24,1
92,26,1
